Дтс. ;Действительный тайный советник;2
Куп.;Купец;
Кс.;Колежский советник;6
Не.;Надворный советник;7
Ттс.;Титулярный советник;9
Вр. куп.;Временный купец;
Нот. поч. гр., куп.;Потомственный почетный гражданин, купец;
Ьуп.;Купец;
Ка.;Колежский асессор;8
Сс. ;Статский советник;5
Пот. поч. гр.;Потомственный почетный гражданин;
Изм. п.;Измайловский полк;
Сел.;;
Кан.;Капитан;9
Ипж.-пдплк.;Инженер-подполковник;7
Пор. ;Поручик;10
Дсс.;Действительный статский советник;4
Гс.;Губернский секретарь;12
Свящ. ;Священник;
Ген. Шт. геп.-м;Генерального штаба генерал-майор;
Кск.;Колежский секретарь;10
Кр.;Колежский регистратор;14
Кам.-юнк. ;Камер-юнкер;9
Плк.;Полковник;6
Шт.-кап.;Штабс-капитан;10
Не., дм.;;
Нор.;Поручик;10
Кск. ;Колежский секретарь;10
Ротм. ;Ротмистр;9
Поч. гр.;Почетный гражданин;
Тс.;Тайный советник;3
Нс.;Надворный советник;7
Кс.;Коллежский советник;6
Пдплк.;Подполковник;7
Ген.-м.;Генерал-майор;4
Кап.;Капитан;8
дтс.;Действительный тайный советник;2
куп.;Купец;
кс.;Колежский советник;6
не.;Надворный советник;7
ттс.;Титулярный советник;9
вр. куп.;Временный купец;
нот. поч. гр., куп.;Потомственный почетный гражданин, купец;
ьуп.;Купец;
ка.;Колежский асессор;8
сс.;Статский советник;5
пот. поч. гр.;Потомственный почетный гражданин;
кан.;Капитан;9
пор.;Поручик;10
дсс.;Действительный статский советник;4
гс.;Губернский секретарь;12
свящ.;Священник;
кск.;Колежский секретарь;10
кр.;Колежский регистратор;14
плк.;Полковник;6
шт.-кап.;Штабс-капитан;10
нор.;Поручик;10
кск.;Колежский секретарь;10
ротм.;Ротмистр;9
поч. гр.;Почетный гражданин;
тс.;Тайный советник;3
нс.;Надворный советник;7
кс.;Коллежский советник;6
пдплк.;Подполковник;7
ген.-м.;Генерал-майор;4
кн.;Князь;
кп.;Князь;
гр.;Граф;
гофм. ;Гофмаршал;3
купч.;Купчиха;
крн.;Крестьянин;
тгс.;Титулярный советник;
бар.;Барон;
